symbol,error,errorType
DOW,"HTTP 429",http_error
DPZ,"HTTP 429",http_error
DRI,"HTTP 429",http_error
DSS,"HTTP 429",http_error
DTE,"HTTP 429",http_error
DUK,"HTTP 429",http_error
DVA,"HTTP 429",http_error
DVN,"HTTP 429",http_error
DVS,"HTTP 429",http_error
DXCM,"HTTP 429",http_error
DXF,"HTTP 429",http_error
EA,"HTTP 429",http_error
EBAY,"HTTP 429",http_error
ECL,"HTTP 429",http_error
ED,"HTTP 429",http_error
EFX,"HTTP 429",http_error
EG,"HTTP 429",http_error
EGG,"HTTP 429",http_error
EIX,"HTTP 429",http_error
EL,"HTTP 429",http_error
ELA,"HTTP 429",http_error
ELLO,"HTTP 429",http_error
ELMD,"HTTP 429",http_error
ELON,"HTTP 429",http_error
ELV,"HTTP 429",http_error
EME,"HTTP 429",http_error
EMN,"HTTP 429",http_error
EMR,"HTTP 429",http_error
EMX,"HTTP 429",http_error
EOG,"HTTP 429",http_error
EONR,"HTTP 429",http_error
EP,"HTTP 429",http_error
EPAM,"HTTP 429",http_error
EPM,"HTTP 429",http_error
EQIX,"HTTP 429",http_error
EQR,"HTTP 429",http_error
EQT,"HTTP 429",http_error
EQX,"HTTP 429",http_error
ERIE,"HTTP 429",http_error
ES,"HTTP 429",http_error
ESBA,"HTTP 429",http_error
ESP,"HTTP 429",http_error
ESS,"HTTP 429",http_error
ETN,"HTTP 429",http_error
ETR,"HTTP 429",http_error
EVI,"HTTP 429",http_error
EVRG,"HTTP 429",http_error
EW,"HTTP 429",http_error
EXC,"HTTP 429",http_error
EXE,"HTTP 429",http_error
EXOD,"HTTP 429",http_error
EXPD,"HTTP 429",http_error
EXPE,"HTTP 429",http_error
EXR,"HTTP 429",http_error
F,"HTTP 429",http_error
FANG,"HTTP 429",http_error
FAST,"HTTP 429",http_error
FCX,"HTTP 429",http_error
FDS,"HTTP 429",http_error
FDX,"HTTP 429",http_error
FE,"HTTP 429",http_error
FFIV,"HTTP 429",http_error
FI,"HTTP 429",http_error
FICO,"HTTP 429",http_error
FIS,"HTTP 429",http_error
FISK,"HTTP 429",http_error
FITB,"HTTP 429",http_error
FLAG,"HTTP 429",http_error
FLYX,"HTTP 429",http_error
FLYY,"HTTP 429",http_error
FOX,"HTTP 429",http_error
FOXA,"HTTP 429",http_error
FOXO,"HTTP 429",http_error
FRT,"HTTP 429",http_error
FSI,"HTTP 429",http_error
FSLR,"HTTP 429",http_error
FSP,"HTTP 429",http_error
FTNT,"HTTP 429",http_error
FTV,"HTTP 429",http_error
FURY,"HTTP 429",http_error
GAU,"HTTP 429",http_error
GBR,"HTTP 429",http_error
GD,"HTTP 429",http_error
GDDY,"HTTP 429",http_error
GE,"HTTP 429",http_error
GEHC,"HTTP 429",http_error
GEN,"HTTP 429",http_error
GENC,"HTTP 429",http_error
GEV,"HTTP 429",http_error
GFS,"HTTP 429",http_error
GILD,"HTTP 429",http_error
GIS,"HTTP 429",http_error
GL,"HTTP 429",http_error
GLDG,"HTTP 429",http_error
GLW,"HTTP 429",http_error
GM,"HTTP 429",http_error
GNRC,"HTTP 429",http_error
GNS,"HTTP 429",http_error
GOOG,"HTTP 429",http_error
GOOGL,"HTTP 429",http_error
GORO,"HTTP 429",http_error
GPC,"HTTP 429",http_error
GPN,"HTTP 429",http_error
GRAF,"HTTP 429",http_error
GRMN,"HTTP 429",http_error
GROY,"HTTP 429",http_error
GS,"HTTP 429",http_error
GTE,"HTTP 429",http_error
GWW,"HTTP 429",http_error
HAL,"HTTP 429",http_error
HAS,"HTTP 429",http_error
HBAN,"HTTP 429",http_error
HCA,"HTTP 429",http_error
HCWC,"HTTP 429",http_error
HD,"HTTP 429",http_error
HIG,"HTTP 429",http_error
HII,"HTTP 429",http_error
HLT,"HTTP 429",http_error
HOLX,"HTTP 429",http_error
HON,"HTTP 429",http_error
HOOD,"HTTP 429",http_error
HPE,"HTTP 429",http_error
HPQ,"HTTP 429",http_error
HRL,"HTTP 429",http_error
HSBA,"HTTP 429",http_error
HSIC,"HTTP 429",http_error
HST,"HTTP 429",http_error
HSY,"HTTP 429",http_error
HUBB,"HTTP 429",http_error
HUM,"HTTP 429",http_error
HUSA,"HTTP 429",http_error
HWM,"HTTP 429",http_error
IAUX,"HTTP 429",http_error
IBKR,"HTTP 429",http_error
IBM,"HTTP 429",http_error
IBO,"HTTP 429",http_error
ICE,"HTTP 429",http_error
IDR,"HTTP 429",http_error
IDXX,"HTTP 429",http_error
IE,"HTTP 429",http_error
IEX,"HTTP 429",http_error
IFF,"HTTP 429",http_error
IGC,"HTTP 429",http_error
IHT,"HTTP 429",http_error
IMO,"HTTP 429",http_error
INCY,"HTTP 429",http_error
INDO,"HTTP 429",http_error
INFU,"HTTP 429",http_error
INLX,"HTTP 429",http_error
INTC,"HTTP 429",http_error
INTT,"HTTP 429",http_error
INTU,"HTTP 429",http_error
INUV,"HTTP 429",http_error
INVH,"HTTP 429",http_error
IOR,"HTTP 429",http_error
IP,"HTTP 429",http_error
IPB,"HTTP 429",http_error
IPG,"HTTP 429",http_error
IQV,"HTTP 429",http_error
IR,"HTTP 429",http_error
IRM,"HTTP 429",http_error
ISOU,"HTTP 429",http_error
ISRG,"HTTP 429",http_error
IT,"HTTP 429",http_error
ITP,"HTTP 429",http_error
ITRG,"HTTP 429",http_error
ITW,"HTTP 429",http_error
IVZ,"HTTP 429",http_error
IWM,"HTTP 429",http_error
J,"HTTP 429",http_error
JBHT,"HTTP 429",http_error
JBL,"HTTP 429",http_error
JCI,"HTTP 429",http_error
JD,"HTTP 429",http_error
JKHY,"HTTP 429",http_error
JNJ,"HTTP 429",http_error
JOB,"HTTP 429",http_error
JPM,"HTTP 429",http_error
K,"HTTP 429",http_error
KAPA,"HTTP 429",http_error
KDP,"HTTP 429",http_error
KEY,"HTTP 429",http_error
KEYS,"HTTP 429",http_error
KHC,"HTTP 429",http_error
KIM,"HTTP 429",http_error
KKR,"HTTP 429",http_error
KLAC,"HTTP 429",http_error
KMB,"HTTP 429",http_error
KMI,"HTTP 429",http_error
KMX,"HTTP 429",http_error
KNW,"HTTP 429",http_error
KO,"HTTP 429",http_error
KR,"HTTP 429",http_error
KULR,"HTTP 429",http_error
KVUE,"HTTP 429",http_error
L,"HTTP 429",http_error
LCTX,"HTTP 429",http_error
LDOS,"HTTP 429",http_error
LEGT,"HTTP 429",http_error
LEN,"HTTP 429",http_error
LEU,"HTTP 429",http_error
LGCY,"HTTP 429",http_error
LGL,"HTTP 429",http_error
LGPS,"HTTP 429",http_error
LH,"HTTP 429",http_error
LHX,"HTTP 429",http_error
LII,"HTTP 429",http_error
LIN,"HTTP 429",http_error
LKQ,"HTTP 429",http_error
LLY,"HTTP 429",http_error
LMT,"HTTP 429",http_error
LNT,"HTTP 429",http_error
LODE,"HTTP 429",http_error
LOW,"HTTP 429",http_error
LPA,"HTTP 429",http_error
LRCX,"HTTP 429",http_error
LSF,"HTTP 429",http_error
LUD,"HTTP 429",http_error
LULU,"HTTP 429",http_error
LUV,"HTTP 429",http_error
LVS,"HTTP 429",http_error
LW,"HTTP 429",http_error
LYB,"HTTP 429",http_error
LYV,"HTTP 429",http_error
MA,"HTTP 429",http_error
MAA,"HTTP 429",http_error
MAIA,"HTTP 429",http_error
MAR,"HTTP 429",http_error
MARA,"HTTP 429",http_error
MAS,"HTTP 429",http_error
MC,"HTTP 429",http_error
MCD,"HTTP 429",http_error
MCHP,"HTTP 429",http_error
MCK,"HTTP 429",http_error
MCO,"HTTP 429",http_error
MCRP,"HTTP 429",http_error
MDLZ,"HTTP 429",http_error
MDT,"HTTP 429",http_error
MELI,"HTTP 429",http_error
MET,"HTTP 429",http_error
META,"HTTP 429",http_error
MGLD,"HTTP 429",http_error
MGM,"HTTP 429",http_error
MHH,"HTTP 429",http_error
MHK,"HTTP 429",http_error
MI,"HTTP 429",http_error
MITQ,"HTTP 429",http_error
MKC,"HTTP 429",http_error
MLM,"HTTP 429",http_error
MLSS,"HTTP 429",http_error
MMA,"HTTP 429",http_error
MMC,"HTTP 429",http_error
MMM,"HTTP 429",http_error
MNST,"HTTP 429",http_error
MO,"HTTP 429",http_error
MOH,"HTTP 429",http_error
MOS,"HTTP 429",http_error
MPC,"HTTP 429",http_error
MPTI,"HTTP 429",http_error
MPU,"HTTP 429",http_error
MPWR,"HTTP 429",http_error
MRK,"HTTP 429",http_error
MRNA,"HTTP 429",http_error
MRT,"HTTP 429",http_error
MRVL,"HTTP 429",http_error
MS,"HTTP 429",http_error
MSCI,"HTTP 429",http_error
MSFT,"HTTP 429",http_error
MSI,"HTTP 429",http_error
MSN,"HTTP 429",http_error
MSTR,"HTTP 429",http_error
MTA,"HTTP 429",http_error
MTB,"HTTP 429",http_error
MTCH,"HTTP 429",http_error
MTD,"HTTP 429",http_error
MTNB,"HTTP 429",http_error
MU,"HTTP 429",http_error
MWG,"HTTP 429",http_error
MXC,"HTTP 429",http_error
MYND,"HTTP 429",http_error
NAK,"HTTP 429",http_error
NBY,"HTTP 429",http_error
NCL,"HTTP 429",http_error
NCLH,"HTTP 429",http_error
NDAQ,"HTTP 429",http_error
NDSN,"HTTP 429",http_error
NEE,"HTTP 429",http_error
NEM,"HTTP 429",http_error
NEN,"HTTP 429",http_error
NEWP,"HTTP 429",http_error
NFGC,"HTTP 429",http_error
NFLX,"HTTP 429",http_error
NG,"HTTP 429",http_error
NGD,"HTTP 429",http_error
NHC,"HTTP 429",http_error
NI,"HTTP 429",http_error
NKE,"HTTP 429",http_error
NNVC,"HTTP 429",http_error
NOC,"HTTP 429",http_error
NOW,"HTTP 429",http_error
NRG,"HTTP 429",http_error
NSC,"HTTP 429",http_error
NSRX,"HTTP 429",http_error
NTAP,"HTTP 429",http_error
NTIP,"HTTP 429",http_error
NTRS,"HTTP 429",http_error
NUE,"HTTP 429",http_error
NVDA,"HTTP 429",http_error
NVO,"HTTP 429",http_error
NVR,"HTTP 429",http_error
NWS,"HTTP 429",http_error
NWSA,"HTTP 429",http_error
NXPI,"HTTP 429",http_error
O,"HTTP 429",http_error
OBE,"HTTP 429",http_error
ODFL,"HTTP 429",http_error
OGCP,"HTTP 429",http_error
OGEN,"HTTP 429",http_error
OKE,"HTTP 429",http_error
OMC,"HTTP 429",http_error
ON,"HTTP 429",http_error
OPTT,"HTTP 429",http_error
OR,"HTTP 429",http_error
ORCL,"HTTP 429",http_error
ORLA,"HTTP 429",http_error
ORLY,"HTTP 429",http_error
OTIS,"HTTP 429",http_error
OXY,"HTTP 429",http_error
OZ,"HTTP 429",http_error
PANW,"HTTP 429",http_error
PAPL,"HTTP 429",http_error
PAYC,"HTTP 429",http_error
PAYX,"HTTP 429",http_error
PCAR,"HTTP 429",http_error
PCG,"HTTP 429",http_error
PDD,"HTTP 429",http_error
PED,"HTTP 429",http_error
PEG,"HTTP 429",http_error
PEP,"HTTP 429",http_error
PFE,"HTTP 429",http_error
PFG,"HTTP 429",http_error
PG,"HTTP 429",http_error
PGR,"HTTP 429",http_error
PH,"HTTP 429",http_error
PHGE,"HTTP 429",http_error
PHM,"HTTP 429",http_error
PKG,"HTTP 429",http_error
PLAG,"HTTP 429",http_error
PLD,"HTTP 429",http_error
PLG,"HTTP 429",http_error
PLTR,"HTTP 429",http_error
PLX,"HTTP 429",http_error
PM,"HTTP 429",http_error
PNC,"HTTP 429",http_error
PNR,"HTTP 429",http_error
PNW,"HTTP 429",http_error
POAS,"HTTP 429",http_error
PODD,"HTTP 429",http_error
POOL,"HTTP 429",http_error
PPG,"HTTP 429",http_error
PPL,"HTTP 429",http_error
PRK,"HTTP 429",http_error
PRU,"HTTP 429",http_error
PSA,"HTTP 429",http_error
PSKY,"HTTP 429",http_error
PSX,"HTTP 429",http_error
PTC,"HTTP 429",http_error
PW,"HTTP 429",http_error
PWR,"HTTP 429",http_error
PYPL,"HTTP 429",http_error
PZG,"HTTP 429",http_error
QCOM,"HTTP 429",http_error
RBLX,"HTTP 429",http_error
RCL,"HTTP 429",http_error
REG,"HTTP 429",http_error
REGN,"HTTP 429",http_error
REI,"HTTP 429",http_error
REPX,"HTTP 429",http_error
RF,"HTTP 429",http_error
RGNT,"HTTP 429",http_error
RIOT,"HTTP 429",http_error
RJF,"HTTP 429",http_error
RL,"HTTP 429",http_error
RLGT,"HTTP 429",http_error
RMD,"HTTP 429",http_error
ROK,"HTTP 429",http_error
ROL,"HTTP 429",http_error
ROLR,"HTTP 429",http_error
ROP,"HTTP 429",http_error
ROST,"HTTP 429",http_error
RSG,"HTTP 429",http_error
RTX,"HTTP 429",http_error
RVP,"HTTP 429",http_error
RVTY,"HTTP 429",http_error
RXO,"HTTP 429",http_error
RYDE,"HTTP 429",http_error
SACH,"HTTP 429",http_error
SAP,"HTTP 429",http_error
SBAC,"HTTP 429",http_error
SBEV,"HTTP 429",http_error
SBUX,"HTTP 429",http_error
SCCC,"HTTP 429",http_error
SCCD,"HTTP 429",http_error
SCCF,"HTTP 429",http_error
SCCG,"HTTP 429",http_error
SCHW,"HTTP 429",http_error
SEB,"HTTP 429",http_error
SENS,"HTTP 429",http_error
SGN,"HTTP 429",http_error
SHOP,"HTTP 429",http_error
SHW,"HTTP 429",http_error
SIE,"HTTP 429",http_error
SIF,"HTTP 429",http_error
SIM,"HTTP 429",http_error
SJM,"HTTP 429",http_error
SKYH,"HTTP 429",http_error
SLB,"HTTP 429",http_error
SLI,"HTTP 429",http_error
SLND,"HTTP 429",http_error
SLSR,"HTTP 429",http_error
SMCI,"HTTP 429",http_error
SNA,"HTTP 429",http_error
SNPS,"HTTP 429",http_error
SO,"HTTP 429",http_error
SOAR,"HTTP 429",http_error
SOFI,"HTTP 429",http_error
SOLV,"HTTP 429",http_error
SONY,"HTTP 429",http_error
SPG,"HTTP 429",http_error
SPGI,"HTTP 429",http_error
SQ,"HTTP 429",http_error
SRE,"HTTP 429",http_error
STE,"HTTP 429",http_error
STLD,"HTTP 429",http_error
STRW,"HTTP 429",http_error
STT,"HTTP 429",http_error
STX,"HTTP 429",http_error
STXS,"HTTP 429",http_error
STZ,"HTTP 429",http_error
SVM,"HTTP 429",http_error
SW,"HTTP 429",http_error
SWK,"HTTP 429",http_error
SWKS,"HTTP 429",http_error
SYF,"HTTP 429",http_error
SYK,"HTTP 429",http_error
SYNX,"HTTP 429",http_error
SYY,"HTTP 429",http_error
T,"HTTP 429",http_error
TAP,"HTTP 429",http_error
TCEHY,"HTTP 429",http_error
TDG,"HTTP 429",http_error
TDY,"HTTP 429",http_error
TEAM,"HTTP 429",http_error
TECH,"HTTP 429",http_error
TEL,"HTTP 429",http_error
TER,"HTTP 429",http_error
TFC,"HTTP 429",http_error
TGB,"HTTP 429",http_error
TGEN,"HTTP 429",http_error
TGT,"HTTP 429",http_error
THM,"HTTP 429",http_error
TIC,"HTTP 429",http_error
TJX,"HTTP 429",http_error
TKO,"HTTP 429",http_error
TM,"HTTP 429",http_error
TMDE,"HTTP 429",http_error
TMO,"HTTP 429",http_error
TMP,"HTTP 429",http_error
TMQ,"HTTP 429",http_error
TMUS,"HTTP 429",http_error
TOON,"HTTP 429",http_error
TOPP,"HTTP 429",http_error
TOST,"HTTP 429",http_error
TOVX,"HTTP 429",http_error
TPET,"HTTP 429",http_error
TPL,"HTTP 429",http_error
TPR,"HTTP 429",http_error
TRGP,"HTTP 429",http_error
TRMB,"HTTP 429",http_error
TROW,"HTTP 429",http_error
TRT,"HTTP 429",http_error
TRV,"HTTP 429",http_error
TRX,"HTTP 429",http_error
TSCO,"HTTP 429",http_error
TSLA,"HTTP 429",http_error
TSM,"HTTP 429",http_error
TSN,"HTTP 429",http_error
TT,"HTTP 429",http_error
TTD,"HTTP 429",http_error
TTWO,"HTTP 429",http_error
TXN,"HTTP 429",http_error
TXT,"HTTP 429",http_error
TYL,"HTTP 429",http_error
U,"HTTP 429",http_error
UAL,"HTTP 429",http_error
UAVS,"HTTP 429",http_error
UBER,"HTTP 429",http_error
UDR,"HTTP 429",http_error
UEC,"HTTP 429",http_error
UHS,"HTTP 429",http_error
ULTA,"HTTP 429",http_error
UMAC,"HTTP 429",http_error
UNH,"HTTP 429",http_error
UNP,"HTTP 429",http_error
UPS,"HTTP 429",http_error
UPST,"HTTP 429",http_error
URG,"HTTP 429",http_error
URI,"HTTP 429",http_error
USAS,"HTTP 429",http_error
USB,"HTTP 429",http_error
UUU,"HTTP 429",http_error
UUUU,"HTTP 429",http_error
V,"HTTP 429",http_error
VENU,"HTTP 429",http_error
VGZ,"HTTP 429",http_error
VICI,"HTTP 429",http_error
VLO,"HTTP 429",http_error
VLTO,"HTTP 429",http_error
VMC,"HTTP 429",http_error
VNRX,"HTTP 429",http_error
VNTG,"HTTP 429",http_error
VRSK,"HTTP 429",http_error
VRSN,"HTTP 429",http_error
VRTX,"HTTP 429",http_error
VST,"HTTP 429",http_error
VTAK,"HTTP 429",http_error
VTR,"HTTP 429",http_error
VTRS,"HTTP 429",http_error
VZ,"HTTP 429",http_error
VZLA,"HTTP 429",http_error
WAB,"HTTP 429",http_error
WAT,"HTTP 429",http_error
WBD,"HTTP 429",http_error
WDAY,"HTTP 429",http_error
WDC,"HTTP 429",http_error
WEC,"HTTP 429",http_error
WELL,"HTTP 429",http_error
WFC,"HTTP 429",http_error
WM,"HTTP 429",http_error
WMB,"HTTP 429",http_error
WMT,"HTTP 429",http_error
WRB,"HTTP 429",http_error
WRN,"HTTP 429",http_error
WSM,"HTTP 429",http_error
WST,"HTTP 429",http_error
WTW,"HTTP 429",http_error
WWR,"HTTP 429",http_error
WY,"HTTP 429",http_error
WYNN,"HTTP 429",http_error
WYY,"HTTP 429",http_error
XEL,"HTTP 429",http_error
XOM,"HTTP 429",http_error
XPL,"HTTP 429",http_error
XTNT,"HTTP 429",http_error
XYL,"HTTP 429",http_error
XYZ,"HTTP 429",http_error
YCBD,"HTTP 429",http_error
YUM,"HTTP 429",http_error
ZBH,"HTTP 429",http_error
ZBRA,"HTTP 429",http_error
ZDGE,"HTTP 429",http_error
ZONE,"HTTP 429",http_error
ZS,"HTTP 429",http_error
ZTS,"HTTP 429",http_error
